object_id,stop_id,stop_name,route_id,destination,day_type,peak_ind,average_sec,std_sec,p05_sec,p50_sec,p95_sec
51,70150,Kenmore,Green,Eastbound,saturday,offpeak,439.64,300.56,62,399.5,976.3
52,70150,Kenmore,Green,Eastbound,sunday,offpeak,456.66,293.91,64,429,964.55
53,70150,Kenmore,Green,Eastbound,weekday,offpeak,348.6,247.24,56,308,793
54,70150,Kenmore,Green,Eastbound,weekday,peak,270.34,195.47,56,229,629
55,70152,Hynes Convention Center,Green,Eastbound,saturday,offpeak,228.29,185.09,42.45,174.5,596.55
56,70152,Hynes Convention Center,Green,Eastbound,sunday,offpeak,242.39,190.39,41,195,605
57,70152,Hynes Convention Center,Green,Eastbound,weekday,offpeak,176.48,151.98,42,127,467
58,70152,Hynes Convention Center,Green,Eastbound,weekday,peak,134.67,102.08,44,94,345
59,70154,Copley,Green,Eastbound,saturday,offpeak,167.08,145.94,40,115,455
60,70154,Copley,Green,Eastbound,sunday,offpeak,183.46,159.13,39,130,488.8
61,70154,Copley,Green,Eastbound,weekday,offpeak,131.79,118.93,43,87,359
62,70154,Copley,Green,Eastbound,weekday,peak,102.05,72.61,46,74,255
63,70156,Arlington,Green,Eastbound,saturday,offpeak,166.81,146.77,42,109,460.7
64,70156,Arlington,Green,Eastbound,sunday,offpeak,183.59,159.11,42,129,498.9
65,70156,Arlington,Green,Eastbound,weekday,offpeak,131.5,117.59,44,85,359
66,70156,Arlington,Green,Eastbound,weekday,peak,102.16,72.65,45,77,253
67,70158,Boylston,Green,Eastbound,saturday,offpeak,166.21,143.04,55,103,460
68,70158,Boylston,Green,Eastbound,sunday,offpeak,182.64,156.31,54,119,493
69,70158,Boylston,Green,Eastbound,weekday,offpeak,131.09,112.48,60,84,351
70,70158,Boylston,Green,Eastbound,weekday,peak,102.58,63.63,63,80,234
71,70200,Park Street,Green,Eastbound,saturday,offpeak,208.65,187.22,51,137,582.2
72,70200,Park Street,Green,Eastbound,sunday,offpeak,217.26,187.05,51,145,599
73,70200,Park Street,Green,Eastbound,weekday,offpeak,167.93,143.43,53,116,451
74,70200,Park Street,Green,Eastbound,weekday,peak,141.01,100.18,56,106,348
75,70201,Government Center,Green,Eastbound,saturday,offpeak,281.84,245.84,46,204,734.6
76,70201,Government Center,Green,Eastbound,sunday,offpeak,317.45,258.76,55,247,776
77,70201,Government Center,Green,Eastbound,weekday,offpeak,247.44,201.26,57,189,620
78,70201,Government Center,Green,Eastbound,weekday,peak,211.33,151.31,59,170,510.9
79,70203,Haymarket,Green,Eastbound,saturday,offpeak,310.23,268.83,50,231,802.8
80,70203,Haymarket,Green,Eastbound,sunday,offpeak,346.17,275.28,52.75,282.5,847.25
81,70203,Haymarket,Green,Eastbound,weekday,offpeak,251.13,208.37,50,192,642.25
82,70203,Haymarket,Green,Eastbound,weekday,peak,214.98,161.29,50,171,535
83,70205,North Station,Green,Eastbound,saturday,offpeak,577.7,399.98,60,541,1298.8
84,70205,North Station,Green,Eastbound,sunday,offpeak,711.42,401.04,79,700,1384
85,70205,North Station,Green,Eastbound,weekday,offpeak,441.51,304.05,58,393,1005
86,70205,North Station,Green,Eastbound,weekday,peak,370.47,246.91,59,332,842
87,70207,Science Park,Green,Eastbound,saturday,offpeak,599.6,400.02,125,552,1313
88,70207,Science Park,Green,Eastbound,sunday,offpeak,717.01,384.98,141,689,1369
89,70207,Science Park,Green,Eastbound,weekday,offpeak,454.56,305.59,123,394,1029
90,70207,Science Park,Green,Eastbound,weekday,peak,379.82,247.29,122,318,879
405,70110,South Street,Green-B,Park St,saturday,offpeak,628.6,265.14,292,585,1161.25
406,70110,South Street,Green-B,Park St,sunday,offpeak,680.74,329.39,318,609.5,1330.5
407,70110,South Street,Green-B,Park St,weekday,offpeak,492.13,216.53,227,461,912
408,70110,South Street,Green-B,Park St,weekday,peak,393.35,167.3,201,366,697.15
409,70111,South Street,Green-B,Boston College,saturday,offpeak,590.9,434.51,88.6,511,1442.8
410,70111,South Street,Green-B,Boston College,sunday,offpeak,639,447.01,107,559.5,1499
411,70111,South Street,Green-B,Boston College,weekday,offpeak,446.62,344.16,84,369,1103
412,70111,South Street,Green-B,Boston College,weekday,peak,408.31,320.67,42.7,337,1029.65
413,70112,Chestnut Hill Avenue,Green-B,Park St,saturday,offpeak,626.81,272.28,261,583,1184
414,70112,Chestnut Hill Avenue,Green-B,Park St,sunday,offpeak,680.76,340.92,280.2,622,1346
415,70112,Chestnut Hill Avenue,Green-B,Park St,weekday,offpeak,496.49,229.98,218,472,934.6
416,70112,Chestnut Hill Avenue,Green-B,Park St,weekday,peak,394.15,189.77,127,374,724
417,70113,Chestnut Hill Avenue,Green-B,Boston College,saturday,offpeak,617.19,445.75,117,538,1464.8
418,70113,Chestnut Hill Avenue,Green-B,Boston College,sunday,offpeak,647.33,451.54,127,559.5,1520.3
419,70113,Chestnut Hill Avenue,Green-B,Boston College,weekday,offpeak,451.9,341.33,109,368,1102
420,70113,Chestnut Hill Avenue,Green-B,Boston College,weekday,peak,474.1,339.6,113,390,1127
421,70114,Chiswick Road,Green-B,Park St,saturday,offpeak,625.6,277.42,244,594,1182.2
422,70114,Chiswick Road,Green-B,Park St,sunday,offpeak,677.53,338.86,293,617,1324.4
423,70114,Chiswick Road,Green-B,Park St,weekday,offpeak,494.17,230.93,196,471.5,923
424,70114,Chiswick Road,Green-B,Park St,weekday,peak,394.44,194.09,121.5,372,723.5
425,70115,Chiswick Road,Green-B,Boston College,saturday,offpeak,609.2,435.44,75.8,540,1421.8
426,70115,Chiswick Road,Green-B,Boston College,sunday,offpeak,646.23,448.66,94.25,566,1503.5
427,70115,Chiswick Road,Green-B,Boston College,weekday,offpeak,454.3,346.74,68,376,1110.5
428,70115,Chiswick Road,Green-B,Boston College,weekday,peak,471.05,343.34,79.05,387.5,1142.65
429,70116,Sutherland Road,Green-B,Park St,saturday,offpeak,616.09,283.03,215.6,585.5,1150.7
430,70116,Sutherland Road,Green-B,Park St,sunday,offpeak,662.96,346.09,243.35,608,1301.25
431,70116,Sutherland Road,Green-B,Park St,weekday,offpeak,493.29,234.26,183,468,929
432,70116,Sutherland Road,Green-B,Park St,weekday,peak,391.95,195.94,106,377,729.8
433,70117,Sutherland Road,Green-B,Boston College,saturday,offpeak,611.42,436.23,89,544,1424.5
434,70117,Sutherland Road,Green-B,Boston College,sunday,offpeak,648.77,448.76,99.25,569,1511.25
435,70117,Sutherland Road,Green-B,Boston College,weekday,offpeak,455.75,344.19,82,377,1109
436,70117,Sutherland Road,Green-B,Boston College,weekday,peak,469.62,340.12,98,378,1106.3
437,70120,Washington Street,Green-B,Park St,saturday,offpeak,614.96,291.78,199,584,1170
438,70120,Washington Street,Green-B,Park St,sunday,offpeak,660.94,353.24,210.15,619,1313.4
439,70120,Washington Street,Green-B,Park St,weekday,offpeak,493.61,245.05,165.4,464,945
440,70120,Washington Street,Green-B,Park St,weekday,peak,392.98,199.64,113,367,746
441,70121,Washington Street,Green-B,Boston College,saturday,offpeak,611.75,432.11,101.7,544,1406.3
442,70121,Washington Street,Green-B,Boston College,sunday,offpeak,648.02,442.62,106,561,1518.6
443,70121,Washington Street,Green-B,Boston College,weekday,offpeak,454.82,338.34,97,372,1098
444,70121,Washington Street,Green-B,Boston College,weekday,peak,469.33,335.5,110.9,367,1092.1
445,70124,Warren Street,Green-B,Park St,saturday,offpeak,611.38,299.64,210,557,1114
446,70124,Warren Street,Green-B,Park St,sunday,offpeak,653.91,349.55,214,571,1320
447,70124,Warren Street,Green-B,Park St,weekday,offpeak,491.67,253.13,119,449,964.4
448,70124,Warren Street,Green-B,Park St,weekday,peak,393.58,205.85,117,362,731.05
449,70125,Warren Street,Green-B,Boston College,saturday,offpeak,612.91,420.56,106,549,1356.6
450,70125,Warren Street,Green-B,Boston College,sunday,offpeak,650.25,435.98,106.15,557,1440.55
452,70140,Saint Paul Street,Green-B,Park St,saturday,offpeak,625.76,340.43,107,599,1219.85
453,70140,Saint Paul Street,Green-B,Park St,sunday,offpeak,685.93,391.37,153.2,630,1392
456,70140,Saint Paul Street,Green-B,Park St,weekday,offpeak,489.53,274.19,108,451,992
463,70140,Saint Paul Street,Green-B,Park St,weekday,peak,397.18,219.58,105.2,365,798.8
465,70141,Saint Paul Street,Green-B,Boston College,saturday,offpeak,629.78,401.93,91.6,568,1355
467,70141,Saint Paul Street,Green-B,Boston College,sunday,offpeak,674.03,437.78,93,622,1458
468,70141,Saint Paul Street,Green-B,Boston College,weekday,offpeak,463.58,310.06,84,411,1056
470,70141,Saint Paul Street,Green-B,Boston College,weekday,peak,451.78,291.61,93,401,998
471,70082,Broadway,Red,Alewife,saturday,offpeak,417.24,215.05,128,407,754.8
472,70142,Boston University West,Green-B,Park St,saturday,offpeak,628.43,345.03,99.85,598.5,1240
473,70082,Broadway,Red,Alewife,sunday,offpeak,460.02,241.18,131,445,872.1
474,70142,Boston University West,Green-B,Park St,sunday,offpeak,685.25,394.18,126.25,630.5,1403.1
475,70082,Broadway,Red,Alewife,weekday,offpeak,345.76,192.03,127,304,712
476,70142,Boston University West,Green-B,Park St,weekday,offpeak,488.19,277.06,105,451,993
477,70082,Broadway,Red,Alewife,weekday,peak,259.61,123.94,127,227,495.45
478,70142,Boston University West,Green-B,Park St,weekday,peak,397.85,224.2,99,367,799
479,70083,Andrew,Red,Ashmont,saturday,offpeak,858.38,260.79,481.7,835,1263.4
480,70143,Boston University West,Green-B,Boston College,saturday,offpeak,601.32,392.9,92,548,1305.95
481,70083,Andrew,Red,Ashmont,sunday,offpeak,925.3,250.4,564.95,904.5,1335.05
482,70143,Boston University West,Green-B,Boston College,sunday,offpeak,640.94,426.22,83.45,585.5,1422.55
483,70083,Andrew,Red,Ashmont,weekday,offpeak,702.65,278.56,331,679,1178.4
484,70143,Boston University West,Green-B,Boston College,weekday,offpeak,462.57,307.39,85,413,1038.6
485,70083,Andrew,Red,Ashmont,weekday,peak,576.63,230.72,318,529,991
486,70083,Andrew,Red,Braintree,saturday,offpeak,847.99,255.72,457,834,1252.85
487,70143,Boston University West,Green-B,Boston College,weekday,peak,446.69,282.92,93,400.5,979.45
488,70083,Andrew,Red,Braintree,sunday,offpeak,925.67,259.57,545.6,902,1345
489,70083,Andrew,Red,Braintree,weekday,offpeak,650.51,272.88,259,622,1119
490,70144,Boston University Central,Green-B,Park St,saturday,offpeak,628.16,352.96,103.05,594,1236.9
491,70083,Andrew,Red,Braintree,weekday,peak,525.55,222.52,215,483,908.8
492,70144,Boston University Central,Green-B,Park St,sunday,offpeak,685.99,399.39,111.55,623,1408
493,70083,Andrew,Red,Southbound,saturday,offpeak,428.45,193.3,158,413,771.5
494,70144,Boston University Central,Green-B,Park St,weekday,offpeak,486.63,283.04,103,449.5,999.15
495,70083,Andrew,Red,Southbound,sunday,offpeak,464.35,190.83,177.75,447,794
496,70144,Boston University Central,Green-B,Park St,weekday,peak,400.2,236.44,96.15,359,831
521,70145,Boston University Central,Green-B,Boston College,saturday,offpeak,562.01,370.22,81,508,1210.4
522,70145,Boston University Central,Green-B,Boston College,sunday,offpeak,583.45,377.69,65.1,539,1249.9
523,70145,Boston University Central,Green-B,Boston College,weekday,offpeak,441.61,297.04,73,395,995.45
524,70145,Boston University Central,Green-B,Boston College,weekday,peak,421.64,274.28,77,368,936
525,70146,Boston University East,Green-B,Park St,saturday,offpeak,627.17,360.36,104,594,1255.6
526,70146,Boston University East,Green-B,Park St,sunday,offpeak,686.34,402.58,108,617,1410.45
527,70146,Boston University East,Green-B,Park St,weekday,offpeak,485.97,287.52,104,446,1004
528,70146,Boston University East,Green-B,Park St,weekday,peak,401.41,239.19,105,350,824
529,70147,Boston University East,Green-B,Boston College,saturday,offpeak,558.08,362.37,84.1,506,1200.8
530,70147,Boston University East,Green-B,Boston College,sunday,offpeak,584.09,378.99,64,539,1267
531,70147,Boston University East,Green-B,Boston College,weekday,offpeak,441.14,293.53,80,396,992
532,70147,Boston University East,Green-B,Boston College,weekday,peak,418.85,266.82,83.85,369,927.15
533,70148,Blandford Street,Green-B,Park St,saturday,offpeak,595.67,366.22,85,554,1239.8
534,70148,Blandford Street,Green-B,Park St,sunday,offpeak,654.35,415.99,92.65,598.5,1408.4
535,70148,Blandford Street,Green-B,Park St,weekday,offpeak,484.96,294.26,95,445,1021.3
536,70148,Blandford Street,Green-B,Park St,weekday,peak,401.38,244.19,95,356,839.25
537,70149,Blandford Street,Green-B,Boston College,saturday,offpeak,558.27,357.57,89.8,509,1190.2
538,70149,Blandford Street,Green-B,Boston College,sunday,offpeak,584.53,373.31,75,544,1253.65
539,70149,Blandford Street,Green-B,Boston College,weekday,offpeak,440.07,290.6,81,395,987
540,70149,Blandford Street,Green-B,Boston College,weekday,peak,414.21,260.67,81,368,900
541,70151,Kenmore,Green-C,Cleveland Circle,saturday,offpeak,454.99,309.49,59,414,1019
542,70151,Kenmore,Green-C,Cleveland Circle,sunday,offpeak,500.83,333.71,59.35,469,1080
543,70151,Kenmore,Green-C,Cleveland Circle,weekday,offpeak,478.85,294.03,73,443,1007
544,70089,Fields Corner,Red,Ashmont,weekday,offpeak,704.6,307.72,277.65,672.5,1249.05
545,70151,Kenmore,Green-C,Cleveland Circle,weekday,peak,490.1,273.49,124.3,448,987
546,70151,Kenmore,Green-D,Riverside,saturday,offpeak,459.83,364.36,62,389,1030.4
547,70151,Kenmore,Green-D,Riverside,sunday,offpeak,504.3,352.38,72.65,455,1097.1
548,70151,Kenmore,Green-D,Riverside,weekday,offpeak,449.91,309.19,89,394.5,969.7
549,70151,Kenmore,Green-D,Riverside,weekday,peak,406.3,243.73,89,362,871.35
550,70153,Hynes Convention Center,Green-B,Boston College,saturday,offpeak,576.13,329.45,103.5,541.5,1144.75
551,70153,Hynes Convention Center,Green-B,Boston College,sunday,offpeak,593.43,317.37,116,571,1146
601,70159,Boylston,Green-D,Riverside,saturday,offpeak,747.23,401.66,192,696,1469
602,70159,Boylston,Green-D,Riverside,sunday,offpeak,807.29,433.36,231.9,732.5,1642.05
603,70159,Boylston,Green-D,Riverside,weekday,offpeak,466.17,304.15,125,408,954.6
604,70159,Boylston,Green-D,Riverside,weekday,peak,398.64,218.63,125,359,806.9
605,70159,Boylston,Green-E,Heath St,saturday,offpeak,562.99,280.61,119.6,553,1028
606,70159,Boylston,Green-E,Heath St,sunday,offpeak,664.98,309.81,133.15,696,1150.85
607,70159,Boylston,Green-E,Heath St,weekday,offpeak,484.16,223.69,142,472,863
608,70159,Boylston,Green-E,Heath St,weekday,peak,390.74,196.13,121,367,760
609,70162,Woodland,Green-D,Government Center,saturday,offpeak,637.43,261.16,332.7,590,1128.3
610,70162,Woodland,Green-D,Government Center,sunday,offpeak,753.71,309.11,409,676,1324.35
611,70162,Woodland,Green-D,Government Center,weekday,offpeak,548.96,287.63,178,505,1066.6
612,70162,Woodland,Green-D,Government Center,weekday,peak,404.49,193.11,166.7,371,760
613,70163,Woodland,Green-D,Riverside,saturday,offpeak,642.99,334.76,205.7,585,1261.3
614,70163,Woodland,Green-D,Riverside,sunday,offpeak,752.56,388.32,235.8,677,1485.4
615,70163,Woodland,Green-D,Riverside,weekday,offpeak,492,396.24,69,421,1221.85
616,70163,Woodland,Green-D,Riverside,weekday,peak,468.76,376.88,67,379,1170
617,70164,Waban,Green-D,Government Center,saturday,offpeak,637.08,266.04,307.3,592,1143
618,70164,Waban,Green-D,Government Center,sunday,offpeak,750.01,307.53,405.7,677,1338.9
619,70164,Waban,Green-D,Government Center,weekday,offpeak,546.66,290.68,168.85,505,1080
620,70164,Waban,Green-D,Government Center,weekday,peak,402.8,199.5,145,370,767.65
621,70165,Waban,Green-D,Riverside,saturday,offpeak,636.66,320.16,229.8,575,1242.2
622,70165,Waban,Green-D,Riverside,sunday,offpeak,747.77,378.39,242.3,669,1464.1
623,70165,Waban,Green-D,Riverside,weekday,offpeak,495.42,397.37,65,424.5,1228.7
624,70165,Waban,Green-D,Riverside,weekday,peak,467.77,369.89,64,382,1154
625,70166,Eliot,Green-D,Government Center,saturday,offpeak,633.31,266.13,298,593,1135.05
626,70166,Eliot,Green-D,Government Center,sunday,offpeak,751.11,317.5,390.95,680.5,1365
627,70166,Eliot,Green-D,Government Center,weekday,offpeak,548.85,298.96,159.4,505,1100.6
628,70166,Eliot,Green-D,Government Center,weekday,peak,398.74,204.59,132.8,366,770.2
629,70167,Eliot,Green-D,Riverside,saturday,offpeak,637.71,314.61,237.3,577,1237.35
630,70167,Eliot,Green-D,Riverside,sunday,offpeak,756.73,383.25,241.65,674.5,1463.15
631,70167,Eliot,Green-D,Riverside,weekday,offpeak,486.75,375.67,75,423,1182
632,70167,Eliot,Green-D,Riverside,weekday,peak,467.94,367.11,74,384,1151
633,70168,Newton Highlands,Green-D,Government Center,saturday,offpeak,632.45,310.55,211.2,580,1202
634,70168,Newton Highlands,Green-D,Government Center,sunday,offpeak,781.29,389.64,278.75,712,1496.25
635,70168,Newton Highlands,Green-D,Government Center,weekday,offpeak,525.78,299.87,134,483.5,1062
636,70168,Newton Highlands,Green-D,Government Center,weekday,peak,399.15,214.93,106.65,369,788
637,70169,Newton Highlands,Green-D,Riverside,saturday,offpeak,627.65,372.29,87.95,575.5,1294
638,70169,Newton Highlands,Green-D,Riverside,sunday,offpeak,772.42,519.71,75.65,692,1725.2
639,70169,Newton Highlands,Green-D,Riverside,weekday,offpeak,465.91,388,71,376,1210.8
640,70169,Newton Highlands,Green-D,Riverside,weekday,peak,459.89,363.51,72,373,1137.05
641,70170,Newton Centre,Green-D,Government Center,saturday,offpeak,626.34,308.96,199.95,588,1179
642,70170,Newton Centre,Green-D,Government Center,sunday,offpeak,785.88,401.66,256.25,707.5,1530.25
643,70170,Newton Centre,Green-D,Government Center,weekday,offpeak,522.02,298.92,117,484,1059
644,70170,Newton Centre,Green-D,Government Center,weekday,peak,396.91,220.37,96,366,798
645,70171,Newton Centre,Green-D,Riverside,saturday,offpeak,621.65,372.96,86.05,557,1288.2
646,70171,Newton Centre,Green-D,Riverside,sunday,offpeak,757.64,511.41,75.85,679,1675.1
647,70171,Newton Centre,Green-D,Riverside,weekday,offpeak,462.83,379.72,73,378,1174.95
648,70171,Newton Centre,Green-D,Riverside,weekday,peak,460.73,360.76,72,378,1130.5
649,70172,Chestnut Hill,Green-D,Government Center,saturday,offpeak,637.82,319.57,195.8,594,1211.7
650,70172,Chestnut Hill,Green-D,Government Center,sunday,offpeak,784.41,407.02,247.4,698.5,1577.25
651,70153,Hynes Convention Center,Green-B,Boston College,weekday,offpeak,442.16,248.08,109,403,897
652,70153,Hynes Convention Center,Green-B,Boston College,weekday,peak,408.79,217.94,122,376,824
653,70153,Hynes Convention Center,Green-C,Cleveland Circle,saturday,offpeak,523.79,374.26,67.5,462,1189.5
654,70153,Hynes Convention Center,Green-C,Cleveland Circle,sunday,offpeak,556.25,368.94,65,526,1175.55
655,70153,Hynes Convention Center,Green-C,Cleveland Circle,weekday,offpeak,484.53,291.81,83,447.5,1001.95
656,70153,Hynes Convention Center,Green-C,Cleveland Circle,weekday,peak,486.01,262.23,136.2,443,972.9
657,70153,Hynes Convention Center,Green-D,Riverside,saturday,offpeak,642.93,532.65,59,511,1805.75
658,70153,Hynes Convention Center,Green-D,Riverside,sunday,offpeak,676.15,511.16,95,566,1798.45
659,70172,Chestnut Hill,Green-D,Government Center,weekday,offpeak,529.98,312.63,103,489,1100.5
660,70153,Hynes Convention Center,Green-D,Riverside,weekday,offpeak,456.23,300.18,100,406,965.8
661,70172,Chestnut Hill,Green-D,Government Center,weekday,peak,405.82,237.12,88,373,845
662,70153,Hynes Convention Center,Green-D,Riverside,weekday,peak,411.52,250.26,96.5,363,878
